predio,comuna,latitud,longitud,score,nivel
PARCELA 3 PROY. PARC. 28 DE ABRIL,CUNCO,-38.983497,-72.136052,39.0,MEDIO
LAS BRISAS,GORBEA,-39.166564,-72.542415,46.0,MEDIO
PARCELA 35 EL MIRADOR,VILCUN,-38.787092,-72.185746,100.0,CRÍTICO
LOS LLEUQUES,CUNCO,-38.937383,-72.07519,44.0,MEDIO
PARCELAS VICTORIA,VILCUN,-38.675772,-72.162089,100.0,CRÍTICO
SANTA ERNESTINA Y OTRO,CUNCO,-38.839313,-72.285067,100.0,CRÍTICO
HIJUELA 2 SAN PEDRITO LOTE A,CUNCO,-38.927564,-72.249422,49.0,MEDIO
LAS HORTENSIAS,CUNCO,-38.97032,-72.175375,43.0,MEDIO
SANTA ESTER Y OTRO,CUNCO,-38.838751,-72.269024,100.0,CRÍTICO
COPIN CHICO LOTE 1,LAUTARO,-38.433562,-72.103035,100.0,CRÍTICO
EL ALAMO,LAUTARO,-38.453665,-72.109156,100.0,CRÍTICO
SANTA JUDITH,VILCUN,-38.735007,-72.128164,100.0,CRÍTICO
SANTA BARBARA,GORBEA,-39.142051,-72.489554,38.0,MEDIO
EL PORVENIR (U),PITRUFQUEN,-39.101078,-72.915406,86.0,CRÍTICO
VEGA ORIENTE (U),PITRUFQUEN,-39.116057,-72.908569,72.0,ALTO
EL RINCON Y OTROS,GORBEA,-39.182621,-72.575247,32.0,MEDIO
MUCO,LAUTARO,-38.552277,-72.203211,100.0,CRÍTICO
SANTA EUGENIA,CUNCO,-39.048082,-72.298049,27.0,MEDIO
SAN CARLOS-EL PORVENIR,GORBEA,-39.211997,-72.614378,62.0,ALTO
RAJADIABLO LOTES 1 Y 2,NUEVA IMPERIAL,-38.532286,-72.963265,100.0,CRÍTICO
MALALCHE,NUEVA IMPERIAL,-38.522584,-73.001538,100.0,CRÍTICO
LOS CARACOLES Y LOS GUINDOS,TEMUCO,-38.77701,-72.427002,100.0,CRÍTICO
EL ROSARIO,GORBEA,-39.171956,-72.766025,36.0,MEDIO
EL AROMO,GORBEA,-39.183119,-72.734509,36.0,MEDIO
SANTA LUISA,PITRUFQUEN,-39.047401,-72.571743,93.0,CRÍTICO
LA RECOBA DIAMANTE,TEMUCO,-38.65362,-72.614254,100.0,CRÍTICO
PINTA MAHUIDA LOTE B,LAUTARO,-38.567393,-72.502415,100.0,CRÍTICO
CUNCO HIJUELA 2A,LAUTARO,-38.608042,-72.46191,100.0,CRÍTICO
CUNCO HIJUELA 2B,LAUTARO,-38.602249,-72.471447,100.0,CRÍTICO
LOS PUMAS Y LA ESPERANZA,CUNCO,-39.034854,-72.009847,36.0,MEDIO
PAIDAHUE,GORBEA,-39.207242,-72.719674,62.0,ALTO
LOTE 2 B FUNDO CUNCO,LAUTARO,-38.602249,-72.471447,100.0,CRÍTICO
HIJUELA 1 LOTE 2 FDO.CUNCO,LAUTARO,-38.615763,-72.477657,100.0,CRÍTICO
HIJUELA 1 LOTE 2 FUNDO CUNCO (V),LAUTARO,-38.615763,-72.477657,100.0,CRÍTICO
HIJUELA 1 LOTE 3 FUNDO CUNCO (U),LAUTARO,-38.613221,-72.487015,100.0,CRÍTICO
CUNCO GRANDE HIJUELA 1 LOTE 3,LAUTARO,-38.613221,-72.487015,100.0,CRÍTICO
SANTA ROSA LOTE C1,GORBEA,-39.215483,-72.694613,62.0,ALTO
SAN JUAN CHICO 2,LAUTARO,-38.577803,-72.502863,100.0,CRÍTICO
TRES HIJUELAS 2,GORBEA,-39.189242,-72.632174,54.0,ALTO
SANTA SABINA,LAUTARO,-38.608692,-71.991191,100.0,CRÍTICO
EL RETIRO 2,GORBEA,-39.140705,-72.798935,52.0,ALTO
NIAGARA,VILCUN,-38.767383,-72.397464,100.0,CRÍTICO
SAN HERIBERTO,GORBEA,-39.084243,-72.706608,95.0,CRÍTICO
SANTA ESTER (USUFRUCTO),LAUTARO,-38.436586,-72.097052,100.0,CRÍTICO
SAN GREGORIO,PITRUFQUEN,-39.098949,-72.786478,40.0,MEDIO
HIJUELA OHIGGINS,PITRUFQUEN,-39.127529,-72.947409,98.0,CRÍTICO
LAS LOMAS (CAUTIN),CHOLCHOL,-38.567212,-72.825724,100.0,CRÍTICO
PASO REAL,LAUTARO,-38.500451,-72.572096,100.0,CRÍTICO
EL PORVENIR (CAUTIN),CHOLCHOL,-38.555417,-72.82249,100.0,CRÍTICO
SANTA TERESA (CAUTIN),LAUTARO,-38.605438,-72.551025,100.0,CRÍTICO
LT-B LAS TRIACAS SUR,CHOLCHOL,-38.563018,-73.016283,100.0,CRÍTICO
SANTA LAURA,CHOLCHOL,-38.566728,-72.804421,100.0,CRÍTICO
CERRO NEGRO,TIRUA,-38.394751,-73.446372,100.0,CRÍTICO
EL COIGUE Y OTROS,CONTULMO,-38.207726,-73.232838,100.0,CRÍTICO
HIJUELA 46 LOTE A LONCOTRIPAY,TIRUA,-38.378497,-73.41995,100.0,CRÍTICO
CUYEL ALTO,TIRUA,-38.409584,-73.444861,100.0,CRÍTICO
HIJUELA 3 LA HUACHA LOTE B,TIRUA,-38.323145,-73.436269,100.0,CRÍTICO
MELINCHIQUE,CONTULMO,-38.098536,-73.115207,100.0,CRÍTICO
HIJUELA 1 PRIMERA AGUA,CARAHUE,-38.416661,-73.480445,100.0,CRÍTICO
MANZANARES,PUREN,-38.030193,-73.191984,100.0,CRÍTICO
CHACRAS BUENAS I,CONTULMO,-38.066633,-73.226027,100.0,CRÍTICO
PIEDRA ROJA III,CONTULMO,-38.173849,-73.108307,100.0,CRÍTICO
EL ESTERO II,TIRUA,-38.387631,-73.435429,100.0,CRÍTICO
FILO ALTO,TIRUA,-38.397797,-73.469384,100.0,CRÍTICO
ESPERANZA IV Y OTRO,CONTULMO,-38.071046,-73.220544,100.0,CRÍTICO
MIRAMAR,CANETE,-38.003222,-73.314063,100.0,CRÍTICO
LA POSADA Y PUERTO ALEGRE,CONTULMO,-38.121851,-73.307309,100.0,CRÍTICO
ROBLE HUACHO II,CONTULMO,-38.057866,-73.22531,100.0,CRÍTICO
LA FORTUNA,CONTULMO,-38.099712,-73.270714,100.0,CRÍTICO
EL NOGAL II,CONTULMO,-38.027107,-73.254474,100.0,CRÍTICO
SANTA CLARISA II,CANETE,-37.792054,-73.329202,100.0,CRÍTICO
HUILQUEHUE LOTE 2,CANETE,-37.881032,-73.315886,100.0,CRÍTICO
LA CAMPANA II,TIRUA,-38.342896,-73.394454,100.0,CRÍTICO
EL DESIERTO LOTE A Y B2,TIRUA,-38.371669,-73.334878,100.0,CRÍTICO
LA VEGA (USUFRUCTO),CONTULMO,-37.948352,-73.299387,100.0,CRÍTICO
LA CAMPANA LOTE 1C LOTE A,TIRUA,-38.34565,-73.409771,100.0,CRÍTICO
LA CAMPANA LOTE 1B2 Y 1B4,TIRUA,-38.34802,-73.40235,100.0,CRÍTICO
SANTA ANA 2,TIRUA,-38.257507,-73.504357,100.0,CRÍTICO
EPUMALLÍN (LT-2 - HJ-N┬║4),CANETE,-37.739956,-73.284048,100.0,CRÍTICO
MANZANAL,PUREN,-38.044522,-73.161521,100.0,CRÍTICO
"LT-2, 3 Y 5 SANTO DOMINGO",LEBU,-37.547164,-73.554948,100.0,CRÍTICO
HORIZONTE LT-B,PUREN,-38.042544,-73.173587,100.0,CRÍTICO
CHUPALLAR,PUREN,-38.021207,-73.191179,100.0,CRÍTICO
HIJUELA 36 LOTE A LONCOTRIPAY,TIRUA,-38.379191,-73.402964,100.0,CRÍTICO
HIJUELA 1 LOTE A LONCOTRIPAY,TIRUA,-38.396594,-73.388691,100.0,CRÍTICO
HIJUELA 26 LOTE A LONCOTRIPAY,TIRUA,-38.389297,-73.409006,100.0,CRÍTICO
ITURRA,CONTULMO,-38.187228,-73.167443,100.0,CRÍTICO
RESERVA CHOQUE,TIRUA,-38.224301,-73.252512,100.0,CRÍTICO
VICTORIA,CONTULMO,-38.110543,-73.141435,100.0,CRÍTICO
SANTA JOVITA,CONTULMO,-38.124415,-73.17183,100.0,CRÍTICO
EL TOQUI I,CONTULMO,-37.980925,-73.174853,100.0,CRÍTICO
HIJUELA 20 PRIMERA AGUA,TIRUA,-38.416861,-73.4641,100.0,CRÍTICO
PARCELA 36 LLEU-LLEU LOTE A,CANETE,-38.086899,-73.319437,100.0,CRÍTICO
PIEDRA SANTA,PUREN,-38.028693,-73.175372,100.0,CRÍTICO
CHOQUE CHICO,TIRUA,-38.283391,-73.313371,100.0,CRÍTICO
LA HERA,CONTULMO,-38.193783,-73.204667,100.0,CRÍTICO
SAN FELIX,CONTULMO,-38.196104,-73.266137,100.0,CRÍTICO
ESTERO CUYEL,TIRUA,-38.394063,-73.41937,100.0,CRÍTICO
HIJUELA 2 CERRO NEGRO,TIRUA,-38.391483,-73.453132,100.0,CRÍTICO
HIJUELA 17 LONCOTRIPAY LOTE C,TIRUA,-38.403526,-73.482128,100.0,CRÍTICO
HUILLINCO HIJUELA C LOTE 1,TIRUA,-38.30544,-73.430196,100.0,CRÍTICO
EL CARACOL,TIRUA,-38.302431,-73.439022,100.0,CRÍTICO
CUYEL II,TIRUA,-38.404641,-73.451996,100.0,CRÍTICO
EL PUERTO,CONTULMO,-38.207524,-73.25577,100.0,CRÍTICO
SAN RAMON III,TIRUA,-38.224732,-73.233753,100.0,CRÍTICO
EL BADO,CONTULMO,-38.218721,-73.231649,100.0,CRÍTICO
EL RETAZO,CONTULMO,-38.202309,-73.264023,100.0,CRÍTICO
LISPERGUER,CONTULMO,-38.21172,-73.247641,100.0,CRÍTICO
HUINCHICO,CONTULMO,-38.203947,-73.251612,100.0,CRÍTICO
EL MIRADOR (CAUTIN),PUREN,-38.022956,-73.184495,100.0,CRÍTICO
LA CABANA,ANGOL,-37.835851,-72.564902,100.0,CRÍTICO
LAS NIEVES-HUELEHUEICO,ANGOL,-37.836213,-72.513769,100.0,CRÍTICO
MININCO,COLLIPULLI,-37.840643,-72.468438,100.0,CRÍTICO
CUTIPAY,ANGOL,-37.830064,-72.599427,100.0,CRÍTICO
SANTA MARGARITA,COLLIPULLI,-37.822066,-72.440958,100.0,CRÍTICO
HUELEHUEICO II,COLLIPULLI,-37.800384,-72.492731,100.0,CRÍTICO
LA VEGA,COLLIPULLI,-37.79486,-72.45561,100.0,CRÍTICO
EL NOGAL,MULCHEN,-37.78058,-72.450782,100.0,CRÍTICO
EL RETIRO III,COLLIPULLI,-37.935909,-72.510669,100.0,CRÍTICO
LA MANANA,COLLIPULLI,-37.838414,-72.407904,100.0,CRÍTICO
SANTO DOMINGO,COLLIPULLI,-37.956671,-72.467112,100.0,CRÍTICO
CAMPANARIO LOTE 1,RENAICO,-37.757249,-72.487732,100.0,CRÍTICO
PARCELAS EL EDEN - EL ALAMO,COLLIPULLI,-37.893437,-72.462572,100.0,CRÍTICO
PAN GRANDE,COLLIPULLI,-37.889896,-72.433918,100.0,CRÍTICO
INVERNADA,COLLIPULLI,-37.873374,-72.395026,100.0,CRÍTICO
PORVENIR,COLLIPULLI,-37.892585,-72.344308,100.0,CRÍTICO
LA GRANJA,COLLIPULLI,-37.916758,-72.395203,100.0,CRÍTICO
PARLAMENTO,COLLIPULLI,-37.939331,-72.374584,100.0,CRÍTICO
LA ESCUADRA,COLLIPULLI,-37.860025,-72.427664,100.0,CRÍTICO
SANTA JULIA LOTE-2,COLLIPULLI,-38.094484,-71.948271,100.0,CRÍTICO
SANTA EMILIA LOTES 1A-2A Y 1B Y 2B,COLLIPULLI,-37.782531,-72.473896,100.0,CRÍTICO
PARCELAS 8 Y 11 EL EDEN,COLLIPULLI,-37.889353,-72.480695,100.0,CRÍTICO
SAN JUAN,COLLIPULLI,-38.095896,-71.94626,100.0,CRÍTICO
PARCELAS SAN JORGE,COLLIPULLI,-37.960878,-72.31543,100.0,CRÍTICO
PARCELA 11 LOS AROMOS,COLLIPULLI,-37.877411,-72.491557,100.0,CRÍTICO
PARCELA 5 LOS AROMOS Y SITIO 1,COLLIPULLI,-37.877207,-72.508747,100.0,CRÍTICO
EL NARANJO LOTE-A,COLLIPULLI,-37.941367,-72.489555,100.0,CRÍTICO
PARCELA 1 Y 2 SAN JORGE,COLLIPULLI,-37.95552,-72.291702,100.0,CRÍTICO
HIJUELA 3 ETIOPIA LOTE B,COLLIPULLI,-37.902521,-72.384364,100.0,CRÍTICO
STA ELENA HIJUELA 4,COLLIPULLI,-37.987193,-72.149143,100.0,CRÍTICO
PARCELA 9 SALTO DE CHANC,COLLIPULLI,-37.936219,-72.289982,100.0,CRÍTICO
SAN AGUSTIN,COLLIPULLI,-37.97904,-72.151076,100.0,CRÍTICO
SANTA BALBINA HIJ. B - L,COLLIPULLI,-37.971773,-72.406435,100.0,CRÍTICO
PARCELA 5 SANTA ELENE LOTE B,COLLIPULLI,-37.983726,-72.138986,100.0,CRÍTICO
SAN AGUSTIN 2,COLLIPULLI,-37.981016,-72.146895,100.0,CRÍTICO
HIJUELA 1 EL AIRE,COLLIPULLI,-37.984801,-72.155109,100.0,CRÍTICO
PARC 1 J.M.CARERA LOTE 1,COLLIPULLI,-38.010893,-72.363287,100.0,CRÍTICO
PARCELA 1 EL SOL LOTE-A,COLLIPULLI,-38.008975,-72.382559,100.0,CRÍTICO
PARCELA 5 JOSE MIGUEL CA,COLLIPULLI,-37.998686,-72.353718,100.0,CRÍTICO
NIZA LOTE C2A,COLLIPULLI,-37.890739,-72.385226,100.0,CRÍTICO
PARCELA 27 CHILE NUEVO,COLLIPULLI,-37.951265,-72.155102,100.0,CRÍTICO
PARCELA 8 Y 9 LOS AROMOS,COLLIPULLI,-37.886802,-72.48995,100.0,CRÍTICO
PARCELA 19 EL EDEN,COLLIPULLI,-37.910814,-72.459834,100.0,CRÍTICO
PARCELA 6 EL EDEN,COLLIPULLI,-37.904266,-72.490527,100.0,CRÍTICO
PARC 12 LOS AROMOS,COLLIPULLI,-37.871397,-72.497304,100.0,CRÍTICO
SAN JUAN DE ANGOSTURA,COLLIPULLI,-37.918108,-72.424387,100.0,CRÍTICO
PARC 7 LOS AROMOS,COLLIPULLI,-37.883591,-72.496538,100.0,CRÍTICO
PARCELA 1 EL EDEN,COLLIPULLI,-37.912758,-72.464864,100.0,CRÍTICO
PARCELA 2 EL EDEN,COLLIPULLI,-37.919264,-72.465544,100.0,CRÍTICO
PARCELA 17 EL EDEN,COLLIPULLI,-37.903182,-72.468269,100.0,CRÍTICO
PARCELA 26 LIB.CAMPESINA,COLLIPULLI,-38.068266,-72.257055,100.0,CRÍTICO
HIJUELA 68 LA UNION L.3,COLLIPULLI,-38.084823,-71.819679,80.0,CRÍTICO
SANTA MARINA LOTE A,RENAICO,-37.812212,-72.536672,100.0,CRÍTICO
PARCELAS M. RODRIGUEZ,COLLIPULLI,-38.092134,-72.167751,100.0,CRÍTICO
PARCELA 20 UNION CHILENA,COLLIPULLI,-38.040446,-72.209972,100.0,CRÍTICO
SENTEMENTO,COLLIPULLI,-37.934792,-72.347133,100.0,CRÍTICO
SANTA JULIA,COLLIPULLI,-38.095282,-71.977876,100.0,CRÍTICO
SAN LUIS HIJUELA,COLLIPULLI,-38.081721,-72.012337,100.0,CRÍTICO
SELVA SUR,COLLIPULLI,-38.07167,-72.110954,100.0,CRÍTICO
"MONTAÑA 2,LA",COLLIPULLI,-38.073631,-72.15198,100.0,CRÍTICO
SANTA SARA,COLLIPULLI,-37.97422,-72.144447,100.0,CRÍTICO
LA SELVA,COLLIPULLI,-38.057391,-72.105439,100.0,CRÍTICO
"TESORO,EL",COLLIPULLI,-37.939983,-72.359453,100.0,CRÍTICO
NIZA,COLLIPULLI,-37.870183,-72.344762,100.0,CRÍTICO
LA LEONA 2,COLLIPULLI,-38.042747,-72.024611,100.0,CRÍTICO
MANUEL RODRIGUEZ P-32,COLLIPULLI,-38.049289,-72.118895,100.0,CRÍTICO
LA SUERTE P-2,COLLIPULLI,-37.972872,-72.133702,100.0,CRÍTICO
"SUERTE,LA P-13",COLLIPULLI,-38.02971,-72.098509,100.0,CRÍTICO
MANUEL RODRIGUEZ P-26,COLLIPULLI,-38.064637,-72.124666,100.0,CRÍTICO
"SUERTE,LA P-12",COLLIPULLI,-38.033677,-72.089923,100.0,CRÍTICO
SANTO DOMINGO 4,COLLIPULLI,-38.095227,-71.969771,100.0,CRÍTICO
MANUEL RODRIGUEZ P-23,COLLIPULLI,-38.069507,-72.127435,100.0,CRÍTICO
MANUEL RODRIGUEZ P-33,COLLIPULLI,-38.048025,-72.129813,100.0,CRÍTICO
CHILE NUEVO P-4,COLLIPULLI,-37.985608,-72.161598,100.0,CRÍTICO
LA SUERTE PARCELA 4,COLLIPULLI,-37.995996,-72.111606,100.0,CRÍTICO
COLONIA NIZA PARC. 2,COLLIPULLI,-37.94075,-72.343614,100.0,CRÍTICO
"SUERTE,LA P-1",COLLIPULLI,-37.959617,-72.13989,100.0,CRÍTICO
TOTORAS SECTOR 1,ANGOL,-37.859967,-72.543235,100.0,CRÍTICO
TOTORAS SECTOR 2,ANGOL,-37.882656,-72.547226,100.0,CRÍTICO
TOTORAS SECTOR 3,COLLIPULLI,-37.892083,-72.507658,100.0,CRÍTICO
NIZA,COLLIPULLI,-37.886667,-72.399264,100.0,CRÍTICO
SAN ROBERTO,COLLIPULLI,-37.911994,-72.379055,100.0,CRÍTICO
SAN ANTONIO,COLLIPULLI,-37.935906,-72.40833,100.0,CRÍTICO
SAN CARLOS,COLLIPULLI,-37.965284,-72.390965,100.0,CRÍTICO
LA PENA,COLLIPULLI,-38.015278,-72.202816,100.0,CRÍTICO
EL RAULI Y OTROS,COLLIPULLI,-38.097391,-72.140207,100.0,CRÍTICO
LA ISLA,COLLIPULLI,-38.116356,-72.063216,100.0,CRÍTICO
ANCHIMALLEN,COLLIPULLI,-38.08554,-72.111125,100.0,CRÍTICO
RUCANANCO,COLLIPULLI,-37.945809,-72.268484,100.0,CRÍTICO
MAPULHUE A,COLLIPULLI,-38.016337,-72.096816,100.0,CRÍTICO
MAPULHUE B,COLLIPULLI,-38.047084,-72.078449,100.0,CRÍTICO
EL PROGRESO,COLLIPULLI,-37.969099,-72.205603,100.0,CRÍTICO
PARCELAS LIBERTAD CAMPESINA,COLLIPULLI,-38.064616,-72.233673,100.0,CRÍTICO
PARCELA 26 TRANQUENANCO,COLLIPULLI,-37.966287,-72.22319,100.0,CRÍTICO
VIVA CHILE (EX-M.RODRIG),COLLIPULLI,-38.095379,-72.174294,100.0,CRÍTICO
CHILE NUEVO,COLLIPULLI,-37.947978,-72.175954,100.0,CRÍTICO
PARCELA FUTURO DE CHILE,COLLIPULLI,-38.147335,-72.063572,100.0,CRÍTICO
PARCELA 25 UNION CHILENA LOTE-A,COLLIPULLI,-38.055731,-72.205715,100.0,CRÍTICO
