fecha,titular,enlace_noticia,url_foto,actor,ubicacion,latitud,longitud,catalizador,accion_digital,modificadores,puntaje_riesgo,nivel_alerta,palabra_clave,analisis_ia,id,fuentes_adicionales,ruta_evidencia_local,tipologia_oficial
2026-03-27 00:00:00+00:00,Chile/Mapuche. Grave está el preso político mapuche en huelga de hambre seca Axel Campos - Kaos en la red,https://kaosenlared.net/chile-mapuche-grave-esta-el-preso-politico-mapuche-en-huelga-de-hambre-seca-axel-campos/,,Axel Campos,No especificado,-38.73,-72.59,Conflicto Forestal,Declaración / Comunicado,Ninguno,2.0,BAJO,"Mapuche', 'Huelga","Cinco presos políticos mapuche en huelga de hambre, incluyendo a Axel Campos, enfrentan riesgos para su vida debido a la gravedad de su estado de salud.",000113da-48eb-4edb-a8db-b6d86e5bde5d,,,Sabotaje / Otros
2026-05-11 00:00:00+00:00,Comunicación de @fundacionkeule vía Instagram,https://www.instagram.com/p/DYL6JMBuduh/,https://scontent-scl3-1.cdninstagram.com/o1/v/t2/f2/m86/AQPsstGv4q5bYC9SIlkbTJVp76GDVL22v_scUubjVYi9dKZ65X_EeWzZnH7inDIP1tCgcLTg-VyRDUsoulrSX7zEmgOrYiI1ejkI2iI.mp4?_nc_cat=102&_nc_sid=5e9851&_nc_ht=scontent-scl3-1.cdninstagram.com&_nc_ohc=NxP_7vV_CGkQ7kNvwFoaFJQ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NzU3ODc5NjkwNjUwNzE3LCJhc3NldF9hZ2VfZGF5cyI6MCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjU2LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=ea27eda17f13bd5d&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85QzQyODkzQTFDQzgxQ0VENzZBQjczODBBMTYzOUU5MV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzU5NEI3OUMyREEzQ0Y5NjJERDhGREJEMzAwODQwM0E2X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa6kfPbs9LYAhUCKAJDMywXQEwEOVgQYk4YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=gY701Zjix2IYg73s8IgGhQ&_nc_zt=28&_nc_ss=7a22e&oh=00_Af5QudwZgZn6UNH6Jd0TYfvSdOpMX0eMA5YYu9DrzBKdTQ&oe=6A044EB7,Vecino Desconocido,Penco,-36.738961,-72.993847,Redes Sociales,Ataque Incendiario,"Contratistas / Forestal, Civiles / Terceros",8.5,CRÍTICO,Queule,"Un vecino denuncia la pérdida de queules en el área de plantación de Arauco, con posibles daños a los rebrotos. La empresa Arauco y Bioforest son mencionadas como parte de la mesa técnica que elaboró la guía para la conservación de especies amenazadas.",0004abcf-c1bf-4059-abbf-6b58e6cb2b45,,,Sabotaje / Otros
2025-12-07 00:00:00+00:00,Vivienda deshabitada es completamente quemada en Cañete: atentado fue adjudicado por la RML - La Tercera,https://www.latercera.com/nacional/noticia/vivienda-deshabitada-es-completamente-quemada-en-canete-atentado-fue-adjudicado-por-la-rml/,,RML,"Mirador de Pelaco, comuna de Cañete, Región del Biobío",-37.8879001,-73.4132078,Conflicto Forestal,Ataque Incendiario,Civiles / Terceros,7.5,ALTO,"Vivienda', 'Quemada","Unataque incendiario en una vivienda rural en Cañete, Región del Biobío",002e2ac6-3ffb-448e-9359-5627217e76a3,,,Ataque Incendiario
2021-04-26 00:00:00+00:00,Atentado,Archivo Local KMZ,,indeterminado,Tirúa,-37.344928,-72.867123,Data Estática,Ataque Incendiario,Infraestructura Crítica,7.0,ALTO,"Peajes Quemados, Plaza",Queman peajes Plaza peajes,002fc566-4f60-4675-aba8-d187a5129372,KMZ_MZS_Historico,,Ataque Incendiario
2021-06-30 00:00:00+00:00,Ataque armado,Archivo Local KMZ,,agricultor,Ercilla,-38.141838,-72.312418,Data Estática,Ataque Armado,Civiles / Terceros,7.5,ALTO,"Ataque Armado, Agricultor",Ataque armado a agricultor,0033add8-2d9e-418f-b58f-d01839d83226,KMZ_MZS_Historico,,Ataque Armado
2022-05-05 00:00:00+00:00,Asesinato,Archivo Local KMZ,,miembros de Weichan Auka Mapu,Cañete,-38.021301,-73.391027,Data Estática,Otro / No Clasificado,Civiles / Terceros,4.0,MEDIO,"Comunero Asesinado, Weichan Auka Mapu","Comunero asesinado por miembros de Weichan Auka Mapu ""Un comunero mapuche resultó fallecido por la acción de desconocidos en la comuna de Tirúa De acuerdo con los antecedentes preliminares, la víctima fatal h",003c8644-6bf5-4eec-ab9a-9d7b9631ea00,KMZ_MZS_Historico,,Sabotaje / Otros
2021-10-07 00:00:00+00:00,Quema maquinaria,Archivo Local KMZ,,-,Lumaco,-38.231985,-73.031866,Data Estática,Ataque Incendiario,Contratistas / Forestal,8.5,CRÍTICO,"Vehículos Quemados, Sector Los Coigues",Queman vehículo sector los Coigues 1 furgón,00423478-b978-40e6-ad84-f60509e7abd8,KMZ_MZS_Historico,,Ataque Incendiario
2023-10-30 00:00:00+00:00,Ataque incendiario,Archivo Local KMZ,,encapuchados,Collipulli,-38.010159,-72.419314,Data Estática,Ataque Incendiario,"Contratistas / Forestal, Infraestructura Crítica",8.5,CRÍTICO,"Vehículos Quemados, Encapuchados",Encapuchados queman camioneta de empresa Frontel en ruta entre Collipulli y Ercilla,0059c9d8-e1d9-496b-8216-71f5964bc79b,KMZ_MZS_Historico,,Ataque Incendiario
2021-11-02 00:00:00+00:00,Macrozona Sur: desconocidos efectúan sabotaje a línea férrea y descarrilan e incendian un tren cargado con celulosa en Victoria - La Tercera,https://www.latercera.com/nacional/noticia/macrozona-sur-desconocidos-efectuaron-sabotaje-a-linea-ferrea-y-descarrilan-un-tren-cargado-con-celulosa-en-victoria/KJMLN5JPZNHP7HCTDTD5NYJGCE/,,Desconocidos,"Victoria, Región de La Araucanía",-38.23291,-72.33292,Conflicto Forestal,Ataque Incendiario,Infraestructura Crítica,7.0,ALTO,"Descarrilamiento', 'Incendio","Un sabotaje a la línea férrea provocó el descarrilamiento e incendio de un tren cargado con celulosa en Victoria, La Araucanía.",0082a87a-940e-421f-a111-63ef3550691a,,,Ataque Incendiario
2021-02-09 00:00:00+00:00,Ataque incendiario,Archivo Local KMZ,,,Villarrica,-39.279336,-72.222926,Data Estática,Ataque Incendiario,Civiles / Terceros,7.5,ALTO,"Quema De Casa, Ocupación",Quema de casa ocupa 1 casa,00899833-fc29-4fda-a0cb-58cf3e8ad295,KMZ_MZS_Historico,,Ataque Incendiario
2022-04-11 00:00:00+00:00,CAM se adjudica robo de camioneta y quema de dos camiones en Cholchol - Prensa Ciudadana,https://www.prensaciudadana.cl/2022/04/11/cam-se-adjudica-robo-de-camioneta-y-quema-de-dos-camiones-en-cholchol/24057/,,CAM,Cholchol,-38.6021071,-72.8459947,Conflicto Forestal,Ataque Incendiario,Contratistas / Forestal,8.5,CRÍTICO,"Robo', 'Quema",Dos camiones forestales destruidos y robo de una camioneta en Cholchol,008e075f-ff8e-4af6-a788-63e96d8e8141,,,Sabotaje / Otros
2020-06-22 00:00:00+00:00,Ataque armado,Archivo Local KMZ,,familiares de René Urban,Ercilla,-38.061453,-72.392269,Data Estática,Ataque Armado,Civiles / Terceros,7.5,ALTO,"Asedio Familiar, Agresión Física",Apedrean y atacan casa pareja ancianos familiares de René Urban,009a43f3-8688-4a33-a89a-39cd7df326a7,KMZ_MZS_Historico,,Ataque Armado
2021-04-14 00:00:00+00:00,Ataque armado,Archivo Local KMZ,,-1,Ercilla,-38.076274,-72.388304,Data Estática,Ataque Armado,Ninguno,6.0,MEDIO,"Ataque Armado, Vehículo",Ataque armado a vehículo,00a99c60-6675-4f58-aef0-262b07923d07,KMZ_MZS_Historico,,Ataque Armado
