id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1,PARCELA 3 PROY. PARC. 28 DE ABRIL,CUNCO,-38.983497,-72.136052,BAJO,87.6
2,LAS BRISAS,GORBEA,-39.166564,-72.542415,BAJO,107.3
3,PARCELA 35 EL MIRADOR,VILCUN,-38.787092,-72.185746,MEDIO,50.55
4,LOS LLEUQUES,CUNCO,-38.937383,-72.07519,MEDIO,25.14
5,PARCELAS VICTORIA,VILCUN,-38.675772,-72.162089,MEDIO,80.47
6,SANTA ERNESTINA Y OTRO,CUNCO,-38.839313,-72.285067,MEDIO,38.17
7,HIJUELA 2 SAN PEDRITO LOTE A,CUNCO,-38.927564,-72.249422,MEDIO,25.37
8,LAS HORTENSIAS,CUNCO,-38.97032,-72.175375,BAJO,673.91
9,SANTA ESTER Y OTRO,CUNCO,-38.838751,-72.269024,MEDIO,292.68
10,COPIN CHICO LOTE 1,LAUTARO,-38.433562,-72.103035,MEDIO,92.52
11,EL ALAMO,LAUTARO,-38.453665,-72.109156,MEDIO,78.9
12,SANTA JUDITH,VILCUN,-38.735007,-72.128164,MEDIO,38.21
13,SANTA BARBARA,GORBEA,-39.142051,-72.489554,BAJO,26.56
14,EL PORVENIR (U),PITRUFQUEN,-39.101078,-72.915406,BAJO,166.13
15,VEGA ORIENTE (U),PITRUFQUEN,-39.116057,-72.908569,BAJO,97.92
16,EL RINCON Y OTROS,GORBEA,-39.182621,-72.575247,BAJO,70.82
17,MUCO,LAUTARO,-38.552277,-72.203211,MEDIO,111.45
18,SANTA EUGENIA,CUNCO,-39.048082,-72.298049,BAJO,464.79
19,SAN CARLOS-EL PORVENIR,GORBEA,-39.211997,-72.614378,BAJO,126.69
20,RAJADIABLO LOTES 1 Y 2,NUEVA IMPERIAL,-38.532286,-72.963265,ALTO,29.78
21,MALALCHE,NUEVA IMPERIAL,-38.522584,-73.001538,ALTO,1655.54
22,LOS CARACOLES Y LOS GUINDOS,TEMUCO,-38.77701,-72.427002,MEDIO,48.27
23,EL ROSARIO,GORBEA,-39.171956,-72.766025,BAJO,115.28
24,EL AROMO,GORBEA,-39.183119,-72.734509,BAJO,30.51
25,SANTA LUISA,PITRUFQUEN,-39.047401,-72.571743,BAJO,6.12
26,LA RECOBA DIAMANTE,TEMUCO,-38.65362,-72.614254,BAJO,41.75
27,PINTA MAHUIDA LOTE B,LAUTARO,-38.567393,-72.502415,BAJO,58.73
28,CUNCO HIJUELA 2A,LAUTARO,-38.608042,-72.46191,BAJO,2.65
29,CUNCO HIJUELA 2B,LAUTARO,-38.602249,-72.471447,BAJO,38.47
30,LOS PUMAS Y LA ESPERANZA,CUNCO,-39.034854,-72.009847,BAJO,462.91
31,PAIDAHUE,GORBEA,-39.207242,-72.719674,BAJO,37.39
32,LOTE 2 B FUNDO CUNCO,LAUTARO,-38.602249,-72.471447,BAJO,14.98
33,HIJUELA 1 LOTE 2 FDO.CUNCO,LAUTARO,-38.615763,-72.477657,BAJO,49.23
34,HIJUELA 1 LOTE 2 FUNDO CUNCO (V),LAUTARO,-38.615763,-72.477657,BAJO,49.17
35,HIJUELA 1 LOTE 3 FUNDO CUNCO (U),LAUTARO,-38.613221,-72.487015,BAJO,39.75
